s,ts_utc,begins,completed,success,unexpected,drops,in_ckpt_local,bin_present
1790147703,2026-09-23T07:15:03+00:00,2000,1996,1970,0,0,True,True
1790147704,2026-09-23T07:15:04+00:00,1999,1984,1951,0,0,True,True
1790147705,2026-09-23T07:15:05+00:00,2001,2021,1989,0,0,True,True
1790147706,2026-09-23T07:15:06+00:00,2000,2001,1971,0,0,True,True
1790147707,2026-09-23T07:15:07+00:00,2000,1985,1952,0,0,True,True
1790147708,2026-09-23T07:15:08+00:00,2000,2014,1981,0,0,True,True
1790147709,2026-09-23T07:15:09+00:00,1999,1997,1967,0,0,True,True
1790147710,2026-09-23T07:15:10+00:00,1999,2002,1968,0,0,True,True
1790147711,2026-09-23T07:15:11+00:00,2002,2001,1973,0,0,True,True
1790147712,2026-09-23T07:15:12+00:00,2000,1955,1925,0,0,True,True
1790147713,2026-09-23T07:15:13+00:00,2000,2042,2019,0,0,True,True
1790147714,2026-09-23T07:15:14+00:00,1999,1988,1960,0,0,True,True
1790147715,2026-09-23T07:15:15+00:00,2001,2018,1994,0,0,True,True
1790147716,2026-09-23T07:15:16+00:00,2000,2001,1965,0,0,True,True
1790147717,2026-09-23T07:15:17+00:00,2000,1996,1960,0,0,True,True
1790147718,2026-09-23T07:15:18+00:00,2000,1996,1962,0,0,True,True
1790147719,2026-09-23T07:15:19+00:00,2000,2009,1975,0,0,True,True
1790147720,2026-09-23T07:15:20+00:00,2000,1992,1963,0,0,True,True
1790147721,2026-09-23T07:15:21+00:00,2000,2007,1977,0,0,True,True
1790147722,2026-09-23T07:15:22+00:00,2000,1996,1972,0,0,True,True
1790147723,2026-09-23T07:15:23+00:00,2000,2002,1959,0,0,True,True
1790147724,2026-09-23T07:15:24+00:00,2000,1999,1963,0,0,False,True
1790147725,2026-09-23T07:15:25+00:00,2000,2004,1978,0,0,False,True
1790147726,2026-09-23T07:15:26+00:00,2000,1989,1959,0,0,False,True
1790147727,2026-09-23T07:15:27+00:00,1999,1981,1942,0,0,False,True
1790147728,2026-09-23T07:15:28+00:00,1999,2027,1993,0,0,False,True
1790147729,2026-09-23T07:15:29+00:00,2001,2002,1960,0,0,False,True
1790147730,2026-09-23T07:15:30+00:00,2001,1990,1958,0,0,False,True
1790147731,2026-09-23T07:15:31+00:00,2000,2012,1978,0,0,False,True
1790147732,2026-09-23T07:15:32+00:00,2000,1990,1960,0,0,False,True
1790147733,2026-09-23T07:15:33+00:00,1998,2001,1965,0,0,False,True
1790147734,2026-09-23T07:15:34+00:00,2002,2007,1967,0,0,False,True
1790147735,2026-09-23T07:15:35+00:00,1999,1985,1948,0,0,False,True
1790147736,2026-09-23T07:15:36+00:00,2001,2007,1970,0,0,False,True
1790147737,2026-09-23T07:15:37+00:00,2000,2003,1958,0,0,False,True
1790147738,2026-09-23T07:15:38+00:00,2000,2006,1957,0,0,False,True
1790147739,2026-09-23T07:15:39+00:00,2000,1996,1959,0,0,False,True
1790147740,2026-09-23T07:15:40+00:00,2000,1998,1965,0,0,False,True
1790147741,2026-09-23T07:15:41+00:00,2000,2003,1970,0,0,False,True
1790147742,2026-09-23T07:15:42+00:00,2000,1998,1962,0,0,False,True
1790147743,2026-09-23T07:15:43+00:00,1999,1999,1958,0,0,False,True
